"specific_set", "name", "description", "criminal_offense"
"APR", "Apropriação indébita", "", "2848, 168"
"CIG", "Contrabando de cigarros", "", "399"
"CPM", "Crime praticado por agente militar", "", "1001"
"CPR-CAT", "Corrupção por agente particular - Corrupção ativa", "", "2848, 333"
"CPR-FCD", "Corrupção por agente particular - Facilitação de contrabando e descaminho", "", "2848, 318"
"CPR-IES", "Corrupção por agente particular - Inutilização de edital ou de sinal", "", "2848, 336"
"CPR-IPF", "Corrupção por agente particular - Impedimento, perturbação ou fraude de concorrência", "", "2848, 335"
"CPR-SID", "Corrupção por agente particular - Subtração ou inutilização de documento oficial", "", "2848, 337"
"CPR-TRI", "Corrupção por agente particular - Tráfico de influência", "", "2848, 332"
"CPU-ADA", "Corrupção por agente público - Advocacia administrativa", "", "2848, 321"
"CPU-COC", "Corrupção por agente público - Condescendência criminosa", "", "2848, 320"
"CPU-CON", "Corrupção por agente público - Concussão", "", "2848, 316"
"CPU-COP", "Corrupção por agente público - Corrupção passiva", "", "2848, 317"
"CPU-EIV", "Corrupção por agente público - Emprego irregular de verbas ou rendas públicas", "", "2848, 315"
"CPU-EFI", "Corrupção por agente público - Exercício funcional ilegalmente antecipado ou prolongado", "", "2848, 324"
"CPU-ESI", "Corrupção por agente público - Extravio, sonegação ou inutilização de livro ou documento", "", "2848, 314"
"CPU-IDF", "Corrupção por agente público - Inserção de dados falsos em sistema de informações", "", "2848, 313, A"
"CPU-MAS", "Corrupção por agente público - Modificação ou alteração não autorizada de sistema de informações", "", "2848, 313, B"
"CPU-PEC", "Corrupção por agente público - Peculato", "", "2848, 312"
"CPU-PME", "Corrupção por agente público - Peculato mediante erro de outrem", "", "2848, 313"
"CPU-UFP", "Corrupção por agente público - Usurpação de função pública", "", "2848, 328"
"CPU-VSC", "Corrupção por agente público - Violação do sigilo de proposta de concorrência", "", "2848, 326"
"CTB", "Contrabando", "", "2848, 334, A"
"ECO-ALT", "Crimes ambientais - Alteração não-autorizada de estrutura ou local protegido pelo Estado em razão de valor paisagístico, ecológico, turístico, artístico ou cultural", "", "9605, 63"
"ECO-BAL", "Crimes ambientais - Produção, comércio, transporte e uso de balões que possam provocar incêndios", "", "9605, 42"
"ECO-CIS", "Crimes ambientais - Caça ilegal de animais silvestres", "", "9605, 29"
"ECO-CON", "Crimes ambientais - Construção não-autorizada em solo não edificável em razão de valor paisagístico, ecológico, artístico, turístico ou cultural, amplamente considerado", "", "9605, 64"
"ECO-COP", "Crimes ambientais - Concessão por funcionário público de autorização em desacordo com normas ambientais para atividades dependentes de autorização do Poder Público", "", "9605, 67"
"ECO-CRV", "Crimes ambientais - Corte ou transformação de madeira de lei em carvão para qualquer finalidade", "", "9605, 45"
"ECO-CUM", "Crimes ambientais - Comércio e uso não-autorizado de motoserra em florestas e demais formas de vegetação", "", "9605, 51"
"ECO-DFA", "Crimes ambientais - Dificultar fiscalização do Poder Público no trato de questões ambientais ", "", "9605, 69"
"ECO-DFN", "Crimes ambientais - Desmatamento e exploração ilegal de floresta plantada ou nativa em terras de domínio público ou devolutas", "", "9605, 50, A"
"ECO-DFP", "Crimes ambientais - Destruição, danificação ou mau uso de floresta de preservação permanente", "", "9605, 38;"
"ECO-DFS", "Crimes ambientais - Destruição ou danificação de floresta primária ou secundária do bioma Mata Atlântica", "", "9605, 38, A"
"ECO-DFV", "Crimes ambientais - Destruição ou danificação de florestas nativa ou vegetação fixadora de dunas e protetora de mangues", "", "9605, 50;"
"ECO-DIU", "Crimes ambientais - Causar dano direto ou indireto à Unidades de Conservação", "", "9605, 40"
"ECO-DOA", "Crimes ambientais - Descumprimento de obrigação ambiental", "", "9605, 68"
"ECO-DPO", "Crimes ambientais - Destruição ou danificação de plantas de ornamentação em espaço público ou alheio", "", "9605, 49"
"ECO-EIA", "Crimes ambientais - Extração ilegal de árvores em floresta de preservação permanente", "", "9605, 39"
"ECO-IAA", "Crimes ambientais - Infração administrativa ambiental", "", "9605, 70|9605, 71"
"ECO-IMF", "Crimes ambientais - Provocar incêndio em mata ou floresta", "", "9605, 41"
"ECO-IRF", "Crimes ambientais - Impedimento de regeneração natural de florestas e demais formas de vegetação", "", "9605, 48"
"ECO-MFA", "Crimes ambientais - Morte de fauna aquática por efluentes", "", "9605, 33"
"ECO-MLC", "Crimes ambientais - Aquisição para comerciais ou industriais madeira, lenha, carvão e outros produtos de origem vegetal sem devida licença regularizada da venda ", "", "9605, 46"
"ECO-MTS", "Crimes ambientais - Maus-tratos a animais silvestres", "", "9605, 32"
"ECO-PCE", "Crimes ambientais - Penetração não-autorizada em Unidades de Conservação com equipamento de caça ou exploração de produtos ou subprodutos florestais", "", "9605, 52"
"ECO-PCH", "Crimes ambientais - Pichar ou por outro meio conspurcar edificação ou monumento urbano", "", "9605, 65"
"ECO-PEI", "Crimes ambientais - Pesca ilegal", "", "9605, 34"
"ECO-PET", "Crimes ambientais - Pesca usando explosivos e tóxicos", "", "9605, 35"
"ECO-POI", "Crimes ambientais - Construção ou instalação não-autorizada ou ilegal de estabelecimentos ou obras potencialmente poluidores", "", "9605, 60;"
"ECO-POL", "Crimes ambientais - Poluição de qualquer natureza que resulte em danos à saúde humana, mortandade da fauna e destruição significativa da flora", "", "9605, 54"
"ECO-RFO", "Crimes ambientais - Elaborar ou apresentar em qualquer procedimento administrativo documento ou relatório ambiental total ou parcialmente falso, incluindo por omissão", "", "9605, 69, A"
"ECO-TOX", "Crimes ambientais - Produção, comércio, fornecimento, armazenamento ou movimentação ilegal de produto ou substância tóxica à saúde humana e ao meio ambiente", "", "9605, 56"
"ECO-OUT", "Crimes ambientais - Outros crimes ambientais", "Seleção de mandados de prisão com tipificação na Lei 9605 que não foram agrupados em Conjuntos Específicos.", "9605"
"EXT-EXI", "Extorsão - Extorsão indireta", "", "2848, 160"
"EXT-EXR", "Extorsão - Extorsão", "", "2848, 150"
"FLS-ASV", "Falsificação - Adulteração de sinal identificador de veículo automotor", "", "2848, 311"
"FLS-ECL", "Falsificação - Emissão de certidão ou atestado ideologicamente falso", "", "2848, 301"
"FLS-FAI", "Falsificação - Falsa identidade", "", "2848, 307"
"FLS-FAM", "Falsificação - Falsidade de atestado médico", "", "2848, 302"
"FLS-FAP", "Falsificação - Falsificação do documento particular", "", "2848, 298"
"FLS-FDP", "Falsificação - Falsificação do documento público", "", "2848, 297"
"FLS-FEN", "Falsificação - Fraude de lei sobre estrangeiro (nome falso)", "", "2848, 309"
"FLS-FEP", "Falsificação - Fraude de lei sobre estrangeiro (posse falsa sobre bens de estrangeiro)", "", "2848, 310"
"FLS-FID", "Falsificação - Falsidade ideológica", "", "2848, 299"
"FLS-FPP", "Falsificação - Falsificação de papéis públicos", "", "2848, 293"
"FLS-FRF", "Falsificação - Falso reconhecimento de firma ou letra", "", "2848, 300"
"FLS-FSM", "Falsificação - Falsificação do sinal empregado no contraste de metal precioso ou na fiscalização alfandegária, ou para outros fins", "", "2848, 306"
"FLS-FSS", "Falsificação - Falsificação do selo ou sinal público", "", "2848, 296"
"FLS-PEF", "Falsificação - Petrechos de falsificação", "", "2848, 294"
"FLS-RAS", "Falsificação - Reprodução ou adulteração de selo ou peça filatélica", "", "2848, 303"
"FLS-SUD", "Falsificação - Supressão de documento", "", "2848, 305"
"FLS-UDF", "Falsificação - Uso de documento falso", "", "2848, 304"
"FRD-AIN", "Estelionato - Abuso de incapaz", "", "2848, 173"
"FRD-CAL", "Estelionato - Calote", "", "2848, 176"
"FRD-EDS", "Estelionato - Uso de duplicata simulada", "", "2848, 172"
"FRD-EIC", "Estelionato - Emissão irregular de conhecimento de depósito ou warrant", "", "2848, 178"
"FRD-EST", "Estelionato - Estelionato", "", "2848, 171"
"FRD-FFA", "Estelionato - Fraude ou abuso na fundação ou administração de sociedade por ações", "", "2848, 177"
"FRD-FNC", "Estelionato - Fraude no comércio", "", "2848, 175"
"FRD-FRE", "Estelionato - Fraude à execução", "", "2848, 179"
"FRD-INE", "Estelionato - Induzimento à especulação", "", "2848, 174"
"FUE", "Fraude e comércio ilícito de combustíveis", "", "8176, 1"
"FUR-ACF", "Furto - Furto qualificado (abuso de confiança ou fraude)", "", "2848, 155, § 4, II"
"FUR-AUT", "Furto - Furto de automóvel transportado interestadualmente ou internacionalmente", "", "2848, 155, § 5"
"FUR-CDP", "Furto - Furto qualificado (concurso de duas ou mais pessoas)", "", "2848, 155, § 4, IV"
"FUR-COM", "Furto - Furto de coisa comum", "", "2848, 156"
"FUR-DEI", "Furto - Furto envolvendo dispositivo eletrônico ou informático", "", "2848, 155, § 4, B|2848, 155, § 4, C"
"FUR-DRO", "Furto - Furto qualificado (destruição e rompimento de obstáculo)", "", "2848, 155, § 4, I"
"FUR-ECF", "Furto - Furto qualificado (emprego de chave falsa)", "", "2848, 155, § 4, III"
"FUR-ELE", "Furto - Furto de energia elétrica e outros bens móveis", "", "2848, 155, § 3"
"FUR-ESC", "Furto - Furto de explosivos ou seus componentes", "", "2848, 155, § 7"
"FUR-EXX", "Furto - Furto envolvendo explosivos", "", "2848, 155, § 4, A"
"FUR-NOT", "Furto - Furto majorado (furto noturno)", "", "2848, 155, § 1"
"FUR-PEQ", "Furto - Furto de pequeno valor por réu primário", "", "2848, 155, § 2"
"FUR-SEM", "Furto - Furto de semovemente domesticável", "", "2848, 155, § 6"
"FUR-SIM", "Furto - Furto simples", "", "2848, 155;"
"FUR-OUT", "Furto - Furtos não agrupados", "Seleção de mandados de prisão com tipificação no Artigo 155 da Lei 2848 que não foram agrupados em Conjuntos Específicos.", "2848, 155"
"GNG-ASS", "Organização e associação criminosa - Organização criminosa", "", "2848, 288"
"GNG-ORG", "Organização e associação criminosa - Associação criminosa", "", "12850"
"GRI", "Grilagem - Loteamento urbano irregular", "", "6766, 50|6766, 51|6766, 52"
"GUN-CIA", "Armas de fogo - Comércio ilegal de armas de fogo", "", "10826, 17"
"GUN-CFM", "Armas de fogo - Comércio e fornecimento de arma, munição e explosivo à menor de idade", "", "8069, 242"
"GUN-OLD", "Armas de fogo - Porte ou posse ou comércio ilegal de armas de fogo (lei revogada)", "", "9437"
"FUR-OUT", "Armas de fogo - Outros crimes", "Seleção de mandados de prisão com tipificação na Lei 10826 que não foram agrupados em Conjuntos Específicos.", "10826"
"GUN-PAP", "Armas de fogo - Porte ilegal de arma de fogo de uso permitido", "", "10826, 14"
"GUN-PAR", "Armas de fogo - Posse ou porte ilegal de arma de fogo de uso restrito", "", "10826, 16"
"GUN-TIA", "Armas de fogo - Tráfico internacional de armas de fogo", "", "10826, 18"
"HOM-HAS", "Homicídio - Homicídio qualificado (contra agente de segurança)", "", "2848, 121, § 2, VII"
"HOM-HCU", "Homicídio - Homicídio culposo", "", "2848, 121, § 3"
"HOM-HEM", "Homicídio - Homicídio qualificado (emboscada)", "", "2848, 121, § 2, IV"
"HOM-HFU", "Homicidio - Homicídio qualificado (recurso insidioso)", "", "2848, 121, § 2, II"
"HOM-HIN", "Homicidio - Homicídio qualificado (recurso insidioso)", "", "2848, 121, § 2, III" 
"HOM-HMI", "Homicidio - Homicídio qualificado (milícia privada)", "", "2848, 121, § 6"
"HOM-HMU", "Homicidio - Homicídio qualificado (feminicídio)", "", "2848, 121, § 2, VI"
"HOM-HNQ", "Homicidio - Homicídio não-qualificado", "", "2848, 121;"
"HOM-HTO", "Homicidio - Homicídio qualificado (motivo torpe)", "", "2848, 121, § 2, I"
"HOM-HVI", "Homicidio - Homicídio qualificado (visando impunidade)", "", "2848, 121, § 2, V"
"HOM-OUT", "Homicidio - Homicidios não agrupados", "Seleção de mandados de prisão com tipificação no Artigo 121 da Lei 2848 que não foram agrupados em Conjuntos Específicos.", "2848, 121"
"HUM-EOT", "Abusos e explorações de humanos e seus corpos - Exploração de órgãos e tecidos humanos", "", "9434"
"HUM-PMI", "Abusos e explorações de humanos e seus corpos - Promoção de migração ilegal", "", "2848, 232, A"
"HUM-RCE", "Abusos e explorações de humanos e seus corpos - Redução à condição de escravidão", "", "2848, 149;"
"HUM-SCR", "Abusos e explorações de humanos e seus corpos - Subtração, entrega ou tráfico de criança", "", "8069, 237|8069, 238|8069, 239"
"HUM-TRH", "Abusos e explorações de humanos e seus corpos - Tráfico humano", "", "2848, 149, A"
"LCK-EJA", "Exploração de jogos de azar - Exploração de jogos de azar", "", "3688, 50"
"LCK-EJB", "Exploração de jogos de azar - Exploração de Jogo do Bicho", "", "3688, 58"
"LCK-ELI", "Exploração de jogos de azar - Exploração de loteria ilegal", "", "3688, 51"
"LDD", "Lavagem de dinheiro", "", "9613|12683"
"LIC-AFL", "Crime licitatório - Afastamento de licitante", "", "2848, 337, K"
"LIC-CDI", "Crime licitatório - Contratação direta ilegal", "", "2848, 337, E"
"LIC-CIN", "Crime licitatório - Contratação inidônea", "", "2848, 337, M"
"LIC-FCC", "Crime licitatório - Frustração do caráter competitivo de licitação", "", "2848, 337, F"
"LIC-FLC", "Crime licitatório - Fraude em licitação ou contrato", "", "2848, 337, L"
"LIC-FLI", "Crime licitatório - Fraude à licitação", "", "8666"
"LIC-IMI", "Crime licitatório - Impedimento indevido", "", "2848, 337, N"
"LIC-MPI", "Crime licitatório - Modificação ou pagamento irregular em contrato administrativo", "", "2848, 337, H"
"LIC-ODI", "Crime licitatório - Omissão grave de dado ou de informação por projetista", "", "2848, 337, O"
"LIC-OUT", "Crime licitatório - Crimes licitatórios não agrupados", "Seleção de mandados de prisão com tipificação no Artigo 337 da Lei 2848 que não foram agrupados em Conjuntos Específicos.", "2848, 337"
"LIC-PCI", "Crime licitatório - Patrocínio de contratação indevida", "", "2848, 337, G"
"LIC-PPL", "Crime licitatório - Perturbação de processo licitatório", "", "2848, 337, I"
"LIC-VSL", "Crime licitatório - Violação de sigilo em licitação", "", "2848, 337, J"
"MIL", "Constituição de milícia privada", "", "2848, 288, A"
"MON", "Falsificação de moeda", "", "2848, 289|2848, 290|2848, 291|2848, 292"
"NRC-AAT", "Tráfico de drogas - Associação ao tráfico de drogas", "", "6368, 14|11343, 35"
"NRC-CAP", "Tráfico de drogas - Comércio de drogas e insumos de drogas à agente policial disfarçado", "", "11343, 33, § 1, IV"
"NRC-CNL", "Tráfico de drogas - Compartilhamento de droga não-orientado ao lucro", "", "11343, 33, § 3"
"NRC-CPI", "Tráfico de drogas - Comércio, produção e movimentação de insumos de drogas", "", "11343, 33, § 1, I"
"NRC-CPM", "Tráfico de drogas - Comércio, produção e movimentação de drogas (não especificado)", "", "6368, 12|11343, 33|11343, 33, § 1"
"NRC-CPT", "Tráfico de drogas - Compra, posse e transporte de drogas para uso pessoal", "", "6368, 16|11343, 28"
"NRC-CTD", "Tráfico de drogas - Colaboração ao tráfico de drogas", "", "11343, 37"
"NRC-CTR", "Tráfico de drogas - Cessão de propriedade para tráfico de drogas", "", "11343, 33, § 1, III"
"NRC-FTD", "Tráfico de drogas - Financiamento do tráfico de drogas", "", "11343, 36"
"NRC-IPD", "Tráfico de drogas - Infraestrutura da produção de drogas", "", "6368, 12|11343, 34"
"NRC-IUD", "Tráfico de drogas - Indução ao uso indevido de droga", "", "11343, 33, § 2"
"NRC-OUT", "Tráfico de drogas - Outros crimes", "Seleção de mandados de prisão com tipificação na Lei 6368 ou na Lei 11343 que não foram agrupados em Conjuntos Específicos.", "6368|11343"
"NRC-PDI", "Tráfico de drogas - Plantio de drogas e insumos de drogas", "", "11343, 33, § 1, II"
"NRC-PID", "Tráfico de drogas - Prescrição irregular de drogas", "", "6368, 15|11343, 38"
"PIR-IDI", "Pirataria - Invasão de dispositivo informático", "", "2484, 154, A"
"PIR-PIS", "Pirataria - Pirataria de software", "", "9609"
"PIR-VDA", "Pirataria - Violação de direito autoral", "", "2848, 184"
"POP-CEP", "Crime contra a economia popular - Crime contra a economia popular", "", "1521"
"POP-EPS", "Crime contra a economia popular - Emprego de processo proibido ou de substância não permitida", "", "2848, 274"
"POP-FSA", "Crime contra a economia popular - Falsificação, corrupção, adulteração ou alteração de substância ou produtos alimentícios", "", "2848, 272"
"POP-FTM", "Crime contra a economia popular - Falsificação, corrupção, adulteração ou alteração de produto destinado a fins terapêuticos ou medicinais", "", "2848, 273"
"POP-REL", "Crime contra a economia popular - Crime contra as relações de consumo", "", "8137, 7"
"POP-UIR", "Crime contra a economia popular - Uso de invólucro ou recipiente de produto alimentício ou medicinal com falsa indicação de seu conteúdo", "", "2848, 275"
"POP-VPA", "Crime contra a economia popular - Venda de substância destinada à falsificação de produto alimentício ou medicinal", "", "2848, 277"
"POP-VPI", "Crime contra a economia popular - Venda de produto ou substância proibida e com invólucro ou recipiente com falsa indicação", "", "2848, 276"
"PRV-AIP", "Crime previdenciário - Apropriação indébita previdenciária", "", "2848, 337, A"
"PRV-SCP", "Crime previdenciário - Sonegação de contribuição previdenciária", "", "2848, 168, A"
"RCP-RCA", "Receptação - Receptação de animal", "", "2848, 180, A"
"RCP-REC", "Receptação - Receptação", "", "2848, 180;"
"ROU-EXP", "Roubo - Roubo envolvendo uso de explosivos", "", "2848, 157, § 2, A, II"
"ROU-LAT", "Roubo - Latrocínio", "", "2848, 157, § 3, II"
"ROU-MAJ", "Roubo - Roubo majorado não-especificado", "", "2848, 157, § 2"
"ROU-OUT", "Roubo - Roubos não agrupados", "Seleção de mandados de prisão com tipificação no Artigo 157 da Lei 2848 que não foram agrupados em Conjuntos Específicos.", "2848, 157"
"ROU-RLC", "Roubo - Roubo seguido de lesão corporal grave", "", "2848, 157, § 3, I"
"ROU-RMA", "Roubo - Roubo majorado (emprego de arma) (revogado)", "", "2848, 157, § 2, I"
"ROU-RMC", "Roubo - Roubo majorado (concurso com duas ou mais pessoas)", "", "2848, 157, § 2, II"
"ROU-RMR", "Roubo majorado (roubo sob violência e grave ameaça com arma de fogo de uso restrito)", "", "2848, 157, § 2, B"
"ROU-RMT", "Roubo majorado (vítima sabidamente em serviço de transporte de valores)", "", "2848, 157, § 2, III"
"ROU-RMV", "Roubo majorado (roubo sob violência e grave ameaça com arma de fogo)", "", "2848, 157, § 2, A, I"
"ROU-RRV", "Roubo resultando violência corporal não-especificado", "", "2848, 157, § 3"
"ROU-RVA", "Roubo - Roubo sob violência ou grave ameaça", "", "2848, 157, § 1"
"ROU-SIM", "Roubo - Roubo simples", "", "2848, 157;"
"SEQ-EMS", "Sequestro - Extorsão mediante sequestro", "", "2848, 159"
"SEQ-SCP", "Sequestro - Sequestro e cárcere privado", "", "2848, 148"
"SEX-AMI", "Crime sexual - Aliciamento sexual com menor de idade", "", "8069, 241, D"
"SEX-APF", "Crime sexual - Atentado ao pudor mediante fraude (revogado)", "", "2848, 216;"
"SEX-API", "Crime sexual - Armazenamento de pornografia infantil", "", "8069, 241, B"
"SEX-ASS", "Crime sexual - Assédio sexual", "", "2848, 216, A"
"SEX-AVP", "Crime sexual - Atentado violento ao pudor (revogado)", "", "2848, 214"
